Año,Código,Programa,Económica,Descripción,Finaciación,Cantidad
2021,3,15321,61900,ADECUACIÓN PLAZA CALVARIO,,216000
2021,2,15320,61900,REMODELACIÓN C/ CARDENAL  MONESCILLO,,110000
2021,5,16500,63900,ALUMBRADO CAMINO CRISTO DE VILLAJOS,,24000
2021,6,17100,63500,ARBOLADO ZONAS VERDES,,15000
2021,1,15000,61900,PRESUPUESTOS PARTICIPATIVOS,,15000
2021,7,92000,63600,EQUIPOS INFORMATICOS,,10000
2021,4,16400,62200,SITIOS EN CEMENTERIO,,10000
2021,8,92000,64100,IMPLANTACIÓN WEB MUNICIPAL,,6000
2022,1,15000,61900,PRESUPUESTOS PARTICIPATIVOS,FONDOS PROPIOS,15000
2022,2,16400,62200,SITIOS DEL CEMENTERIO,FONDOS PROPIOS,60000
2022,3,17100,63500,ARBOLADO ZONAS VERDES,FONDOS PROPIOS,10000
2022,4,33310,62200,REMODELACION TEATRO,FONDOS PROPIOS,18000
2022,5,41000,62400,ELEMENTOS DE TRANSPORTE: PALA,FONDOS PROPIOS,9100
2022,6,41000,62400,ELEMENTOS DE TRANSPORTE: TRACTOR,FONDOS PROPIOS,18100
2022,7,43205,61900,ILUMINACION ARTISTICA DE LOS MOLINOS Y DE LA ERMITA DE LA VIRGEN DE LA PAZ,PLAN MEJORA RECURSOS TURISTICOS JCCM,80000
2022,8,43205,62200,ADECUACION DEL ESPACIO MUSEISTICO DEL POSITO MUNICIPAL,PLAN MEJORA RECURSOS TURISTICOS JCCM,40000
2022,9,43205,62300,CONTROL DE LA CAPACIDAD DE CARGA EN ZONAS TURISTICAS,PLAN MEJORA RECURSOS TURISTICOS JCCM,55000
2022,10,43205,64100,DESARROLLO WEB TURISTICA DEL DESTINO,PLAN MEJORA RECURSOS TURISTICOS JCCM,15000
2022,11,49100,62300,VIDEOCAMARAS GRABACION MANCHACENTRO TV,FONDOS PROPIOS,10000
2022,12,92000,63600,OTRAS INVERSIONES NUEVAS DE LOS SERVICIOS: EQUIPOS INFORMATICOS,FONDOS PROPIOS,18000
2022,13,93200,62300,MAQUINARIA INSTALACIONES TECNICAS Y UTILLAJE: CAJERO RECAUDACION,FONDOS PROPIOS,12500
2015,,13200,62600,TRANSCEPTORES PORTÁTILES POLICÍA LOCAL,fondos propios (presupuestado de inicio),1368
2015,,13200,63500, REPARACIÓN SEMÁFOROS,fondos propios (presupuestado de inicio),10000
2015,,13500,62600, TRANSCEPTORES PORTÁTILES PROTECCIÓN CIVIL,fondos propios (presupuestado de inicio),1206
2015,,15320,61900, ASFALTADO DE CALLES,remanente de tesorería para gastos generales,100000
2015,,16000,62200, OBRAS DEL COLECTOR DE SEPES,remanente de tesorería para gastos generales,60000
2015,,16300,62400, ADQUISICIÓN DE UNA BARREDORA (LEASING),remanente de tesorería afectado,25000
2015,,16500,62900, SOTERRAMIENTO CABLES UNIÓN FENOSA,remanente de tesorería para gastos generales,20000
2015,,17100,60900, ESCULTURA PARQUE DE LA MÚSICA,remanente de tesorería afectado,15000
2015,,17100,61900, OBRAS DE MEJORA DE LA VERBENA DEL PARQUE,remanente de tesorería para gastos generales,88590
2015,,17100,61900, ÁREA INFANTIL Y OTROS,remanente de tesorería para gastos generales y fondos propios (presupuestado de inicio),25000
2015,,33320,62500, PÓSITO: PANELES Y MEGAFONÍA,fondos propios (presupuestado de inicio),4000
2015,,45400,61900, OBRAS ARREGLO DE CAMINOS,subvención Diputación,76970
2015,,93300,63200, VARIAS REFORMAS EN INSTALACIONES DEPORTIVAS,remanente de tesorería para gastos generales,30000
2015,,93300,62200, SITIOS DEL CEMENTERIO,remanente de tesorería para gastos generales,19000
2023,1,15321,61900,CERTIFICACIÓN FINAL OBRA PLAZA DEL CALVARIO,Fondos propios,21140.97
2023,2,16400,62200,SITIOS DEL CEMENTERIO,Fondos propios,60000
2023,3,17100,63500,ARBOLADO ZONAS VERDES,Fondos propios,8000
2023,4,43204,68200,MODIFICADO OBRA REHABILITACIÓN CASA TORRECILLA,Fondos propios,70000
2023,5,43208,60900,ELIMINACIÓN ANTENAS TELEVISIÓNALBAICÍN,Fondos propios,50000
2023,6,92000,63600,EQUIPOS INFORMÁTICOS,Fondos propios,18000
2024,,16400,62200,SITIOS DEL CEMENTERIO,Fondos propios,20000
2024,,43208,60900,ELIMINACIÓN ANTENAS TELEVISION BARRIO ALBAICÍN,Fondos propios,50000
2024,,92000,63600,EQUIPOS INFORMATICOS,Fondos propios,8000
2024,,92000,64000,INVERSIONES DE CARÁCTER INMATERIAL,Fondos propios,1276.15
2024,,23160,61900, CLIMATIZACIÓN,Fondos propios,1800
2024,,16500,63900,ALUMBRADO CAMINO DEL CRISTO DE VILLAJOS,Fondos propios,15651
2024,,33310,61900,MEJORA TEATRO,Fondos propios,9000
